,PH_SEQ,In Labor Force?,Unempoyment Status,Received UIB,UIB Amount,Duration of unemployment,Moving Status,Race,Sex,Year,GTCBSA
3825,2023.0,4.0,2.0,1.0,14400.0,14.0,0.0,1.0,2.0,2021.0,31700.0
3865,2044.0,3.0,2.0,2.0,0.0,12.0,3.0,3.0,1.0,2021.0,0.0
3880,2054.0,3.0,2.0,2.0,0.0,43.0,0.0,1.0,1.0,2021.0,0.0
3985,2111.0,4.0,2.0,1.0,1796.0,14.0,0.0,1.0,1.0,2021.0,0.0
4027,2130.0,3.0,2.0,2.0,0.0,30.0,0.0,1.0,2.0,2021.0,0.0
4047,2144.0,4.0,2.0,2.0,0.0,52.0,0.0,1.0,2.0,2021.0,0.0
4062,2152.0,4.0,2.0,2.0,0.0,1.0,0.0,1.0,2.0,2021.0,0.0
4179,2212.0,3.0,2.0,1.0,7425.0,47.0,6.0,1.0,2.0,2021.0,0.0
4269,2270.0,3.0,2.0,1.0,3976.0,30.0,0.0,1.0,2.0,2021.0,0.0
4321,2298.0,4.0,2.0,1.0,18460.0,30.0,0.0,1.0,1.0,2021.0,0.0
4329,2300.0,3.0,2.0,1.0,24587.0,22.0,0.0,1.0,2.0,2021.0,0.0
4342,2305.0,4.0,2.0,1.0,30000.0,4.0,0.0,1.0,1.0,2021.0,0.0
4383,2336.0,4.0,2.0,2.0,0.0,16.0,0.0,1.0,1.0,2021.0,0.0
4400,2348.0,4.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,2021.0,0.0
4421,2359.0,4.0,2.0,2.0,0.0,26.0,1.0,1.0,2.0,2021.0,0.0
4458,2382.0,3.0,2.0,1.0,6000.0,99.0,0.0,1.0,1.0,2021.0,0.0
4480,2390.0,3.0,2.0,1.0,4512.0,52.0,11.0,1.0,2.0,2021.0,0.0
4635,2490.0,3.0,2.0,2.0,0.0,8.0,0.0,1.0,1.0,2021.0,0.0
4679,2513.0,3.0,2.0,2.0,0.0,52.0,0.0,1.0,1.0,2021.0,0.0
4693,2524.0,4.0,2.0,1.0,9400.0,39.0,0.0,1.0,2.0,2021.0,0.0
4780,2577.0,3.0,2.0,1.0,9600.0,52.0,0.0,1.0,1.0,2021.0,0.0
4830,2599.0,3.0,2.0,2.0,0.0,14.0,0.0,1.0,2.0,2021.0,0.0
4948,3084.0,3.0,2.0,2.0,0.0,30.0,0.0,1.0,1.0,2021.0,0.0
5000,3116.0,3.0,2.0,1.0,6000.0,52.0,0.0,1.0,2.0,2021.0,0.0
5061,3154.0,4.0,2.0,2.0,0.0,8.0,0.0,1.0,1.0,2021.0,0.0
5098,3173.0,4.0,2.0,1.0,16080.0,1.0,0.0,1.0,1.0,2021.0,0.0
5171,3211.0,4.0,2.0,2.0,0.0,52.0,0.0,1.0,2.0,2021.0,0.0
5205,3220.0,3.0,2.0,1.0,20000.0,12.0,0.0,1.0,1.0,2021.0,0.0
5212,3222.0,4.0,2.0,1.0,13000.0,52.0,0.0,1.0,1.0,2021.0,0.0
5223,3224.0,4.0,2.0,2.0,0.0,16.0,0.0,1.0,1.0,2021.0,0.0
